sku;keyword;sessions;users;impressions;clicks;detail;add_from_impressions;add_from_detail;avail_01;avail_02
4318;гипсовая штукатурка;202;113;334;2;3;1;0;;
101514;профли;160;126;236;5;6;5;4;;
434143;бордюр;2091;1496;3286;6;7;0;0;;
135599;диск;291;264;387;0;0;0;0;;
102516;петля;89;73;129;0;0;0;0;;
79214;водоэмульсионка;181;129;287;1;1;0;0;;
143099;пф-115;154;141;236;2;2;0;1;;
37526;блок;2809;2064;4182;25;25;2;1;;
453378;линолеум полукомерческий;137;111;201;0;0;0;0;;
378693;камень;570;442;872;10;9;1;0;;
484469;обои;309;291;388;0;0;0;0;;
53521;водосток;894;676;1359;1;1;2;0;;
127477;краска;365;325;484;1;1;0;0;;
489054;фильтр;1541;1318;2085;3;3;1;0;;
233274;саморез с прес шайбой;11;4;22;0;0;0;0;;
209381;диск пильный;385;323;566;7;7;0;0;;
465862;радиатор;393;315;626;1;2;0;0;;
481153;кольцо;173;168;206;0;0;0;0;;
453933;ванна;459;366;712;0;0;0;0;;
133039;пропитка для дерева;232;196;328;1;1;0;0;;
185510;дорожка грязезащитная;37;14;44;3;5;0;2;;
144111;двери;418;353;554;0;0;0;0;;
185607;доска;9361;6497;14411;105;108;63;14;;
448325;кровля;242;221;290;0;0;0;0;;
46107;сифон;2666;1891;4368;19;23;1;2;;
468803;выключатель;145;138;174;0;0;0;0;;
71384;уплотнитель;1739;1272;2683;9;10;0;0;;
15398;лак;257;234;340;0;0;0;0;;
37048;стяжка пола;284;156;508;5;5;0;0;;
113907;шлиф;192;166;252;0;0;0;0;;
50404;пропитка для дерева;333;243;581;0;0;0;0;;
130086;лампа светодиодная;215;182;337;0;0;2;0;;
453906;цемент;6643;4551;9376;87;82;0;0;;
7451;штанга;189;169;221;1;1;0;0;;
106308;доска;874;635;1354;0;0;0;0;;
159874;лак акриловый;413;316;665;0;0;0;0;;
468619;бак расширительный;260;199;572;3;3;0;0;;
32125;газоблоки;249;164;454;5;4;0;0;;
